"year","iso","rgdpbarro","rgdp","loans1","bassets2","govass","narrowm","money","gdp","iy","cpi","pop","stir","ltrate","crisisST","stocks","dlloans","dlnm","dlm","dlpc","dlloansgdp","dlloansmoney","dlloansr","dlnmr","dlmr","dlloansr.lag1","dlloansr.lag2","dlloansr.lag3","dlloansr.lag4","dlloansr.lag5","dlnmr.lag1","dlnmr.lag2","dlnmr.lag3","dlnmr.lag4","dlnmr.lag5","dlmr.lag1","dlmr.lag2","dlmr.lag3","dlmr.lag4","dlmr.lag5","dlloansgdp.lag1","dlloansgdp.lag2","dlloansgdp.lag3","dlloansgdp.lag4","dlloansgdp.lag5","dlloansmoney.lag1","dlloansmoney.lag2","dlloansmoney.lag3","dlloansmoney.lag4","dlloansmoney.lag5"
1870,"AUS",13.6701498031616,3273.23999023438,NA,NA,NA,23.2999992370605,54.2999992370605,163.399993896484,0.109265603125095,2.70833301544189,1775,0.0487999990582466,0.0487800016999245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871,"AUS",13.7697324752808,3298.50805664062,NA,NA,NA,27.2000007629395,59.5,156.800003051758,0.104579098522663,2.66666698455811,1675,0.046000000089407,0.0467289984226227,0,NA,NA,0.154763673523724,0.0914520996621451,-0.0155039499513755,NA,NA,NA,0.170267623475099,0.106956049613521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872,"AUS",14.8637599945068,3553.42602539062,NA,NA,NA,36.2000007629395,68.5,187.199996948242,0.13043799996376,2.54166698455811,1722,0.046000000089407,0.0469480007886887,0,NA,NA,0.285842138556205,0.140857432716595,-0.0480092133236093,NA,NA,NA,0.333851351879814,0.188866646040205,NA,NA,NA,NA,NA,0.170267623475099,NA,NA,NA,NA,0.106956049613521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,"AUS",16.0248508453369,3823.62890625,64.0199966430664,81.7519989013672,NA,38.5999984741211,73.6999969482422,217.399993896484,0.124986201524734,2.54166698455811,1769,0.0439999997615814,0.0471699982881546,0,NA,NA,0.0641930970328422,0.0731690125192701,0,NA,NA,NA,0.0641930970328422,0.0731690125192701,NA,NA,NA,NA,NA,0.333851351879814,0.170267623475099,NA,NA,NA,0.188866646040205,0.106956049613521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874,"AUS",16.0730571746826,3834.79711914062,70.0400009155273,88.3939971923828,NA,37.9000015258789,79.3000030517578,219.399993896484,0.14195990562439,2.66666698455811,1822,0.0450000017881393,0.0460829995572567,0,NA,0.0898710383831292,-0.0183010845912057,0.0732354093370571,0.0480092133236093,0.0807134649731827,0.0166356290460726,0.0418618250595199,-0.066310297914815,0.0252261960134478,NA,NA,NA,NA,NA,0.0641930970328422,0.333851351879814,0.170267623475099,NA,NA,0.0731690125192701,0.188866646040205,0.106956049613521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1875,"AUS",17.3810558319092,4138.20703125,78.3899993896484,97.8519973754883,NA,37.5,88.5,237.600006103516,0.160564005374908,2.75,1874,0.046000000089407,0.0458999983966351,0,4.21640014648438,0.112629839925398,-0.0106102193726718,0.109764384889377,0.0307715394574712,0.0329377467707173,0.00286545503602036,0.0818583004679265,-0.0413817588301431,0.0789928454319053,0.0418618250595199,NA,NA,NA,NA,-0.066310297914815,0.0641930970328422,0.333851351879814,0.170267623475099,NA,0.0252261960134478,0.0731690125192701,0.188866646040205,0.106956049613521,NA,0.0807134649731827,NA,NA,NA,NA,0.0166356290460726,NA,NA,NA,NA
1876,"AUS",16.8149070739746,4007.25805664062,84.3499984741211,106.061996459961,NA,38.2000007629395,95.8000030517578,235.600006103516,0.167877793312073,2.79166698455811,1929,0.046000000089407,0.0449000000953674,0,4.78739976882935,0.0732784304875853,0.018494602608401,0.0792601648184403,0.0150379912360943,0.0817315659805773,-0.00598173433085486,0.058240439251491,0.00345661137230668,0.0642221735823461,0.0818583004679265,0.0418618250595199,NA,NA,NA,-0.0413817588301431,-0.066310297914815,0.0641930970328422,0.333851351879814,0.170267623475099,0.0789928454319053,0.0252261960134478,0.0731690125192701,0.188866646040205,0.106956049613521,0.0329377467707173,0.0807134649731827,NA,NA,NA,0.00286545503602036,0.0166356290460726,NA,NA,NA
1877,"AUS",16.9400310516357,4036.09008789062,98.620002746582,118.730003356934,NA,40.2000007629395,105.699996948242,242,0.209933593869209,2.875,1995,0.0450000017881393,0.0434999987483025,0,5.01319980621338,0.156299317744006,0.0510314790188025,0.0983421471719872,0.0294137713347395,0.129497069271014,0.0579571705720189,0.126885546409266,0.0216177076840629,0.0689283758372476,0.058240439251491,0.0818583004679265,0.0418618250595199,NA,NA,0.00345661137230668,-0.0413817588301431,-0.066310297914815,0.0641930970328422,0.333851351879814,0.0642221735823461,0.0789928454319053,0.0252261960134478,0.0731690125192701,0.188866646040205,0.0817315659805773,0.0329377467707173,0.0807134649731827,NA,NA,-0.00598173433085486,0.00286545503602036,0.0166356290460726,NA,NA
1878,"AUS",17.9868602752686,4277.39990234375,103.889999389648,122.76000213623,NA,38.7000007629395,106.199996948242,252.399993896484,0.181141003966331,2.83333301544189,2062,0.0480000004172325,0.044599998742342,0,3.9375,0.052058532561329,-0.0380273948536347,0.00471921606757775,-0.0145989116181373,0.00998115223287388,0.0473393164937511,0.0666574441794663,-0.0234284832354974,0.0193181276857151,0.126885546409266,0.058240439251491,0.0818583004679265,0.0418618250595199,NA,0.0216177076840629,0.00345661137230668,-0.0413817588301431,-0.066310297914815,0.0641930970328422,0.0689283758372476,0.0642221735823461,0.0789928454319053,0.0252261960134478,0.0731690125192701,0.129497069271014,0.0817315659805773,0.0329377467707173,0.0807134649731827,NA,0.0579571705720189,-0.00598173433085486,0.00286545503602036,0.0166356290460726,NA
1879,"AUS",17.6727390289307,4204.98291015625,99.8300018310547,122.886001586914,NA,37.2000007629395,108.300003051758,257.200012207031,0.161508604884148,2.75,2127,0.0489999987185001,0.0450000017881393,0,4.15000009536743,-0.0398638835174001,-0.0395308379617081,0.0195811021137979,-0.0298528509526965,-0.0587028168569627,-0.0594449856311981,-0.0100110325647036,-0.00967798700901157,0.0494339530664945,0.0666574441794663,0.126885546409266,0.058240439251491,0.0818583004679265,0.0418618250595199,-0.0234284832354974,0.0216177076840629,0.00345661137230668,-0.0413817588301431,-0.066310297914815,0.0193181276857151,0.0689283758372476,0.0642221735823461,0.0789928454319053,0.0252261960134478,0.00998115223287388,0.129497069271014,0.0817315659805773,0.0329377467707173,0.0807134649731827,0.0473393164937511,0.0579571705720189,-0.00598173433085486,0.00286545503602036,0.0166356290460726
1880,"AUS",18.0217914581299,4285.38916015625,91.0100021362305,120.442001342773,NA,44.5999984741211,114.800003051758,276.200012207031,0.176472395658493,2.66666698455811,2197,0.0469999983906746,0.0412000007927418,0,4.74100017547607,-0.0924993436283161,0.181425043025261,0.0582863282830353,-0.0307715394574712,-0.163770588975151,-0.150785671911352,-0.0617278041708449,0.212196582482732,0.0890578677405065,-0.0100110325647036,0.0666574441794663,0.126885546409266,0.058240439251491,0.0818583004679265,-0.00967798700901157,-0.0234284832354974,0.0216177076840629,0.00345661137230668,-0.0413817588301431,0.0494339530664945,0.0193181276857151,0.0689283758372476,0.0642221735823461,0.0789928454319053,-0.0587028168569627,0.00998115223287388,0.129497069271014,0.0817315659805773,0.0329377467707173,-0.0594449856311981,0.0473393164937511,0.0579571705720189,-0.00598173433085486,0.00286545503602036
1881,"AUS",18.7576923370361,4454.826171875,111.970001220703,141.600006103516,NA,57.2999992370605,134,290.5,0.212345495820045,2.625,2269,0.0469999983906746,0.0384000018239021,0,5.60419988632202,0.207261575112415,0.250566785592383,0.154648289482189,-0.0157484761774216,0.156783283991989,0.0526132856302266,0.223010051289837,0.266315261769804,0.170396765659611,-0.0617278041708449,-0.0100110325647036,0.0666574441794663,0.126885546409266,0.058240439251491,0.212196582482732,-0.00967798700901157,-0.0234284832354974,0.0216177076840629,0.00345661137230668,0.0890578677405065,0.0494339530664945,0.0193181276857151,0.0689283758372476,0.0642221735823461,-0.163770588975151,-0.0587028168569627,0.00998115223287388,0.129497069271014,0.0817315659805773,-0.150785671911352,-0.0594449856311981,0.0473393164937511,0.0579571705720189,-0.00598173433085486
1882,"AUS",17.0486946105957,4062.60595703125,139.880004882812,167.248001098633,NA,55.5999984741211,149.300003051758,313.200012207031,0.180526703596115,2.66666698455811,2348,0.0450000017881393,0.0388999991118908,0,5.61740016937256,0.222553957928167,-0.0301174365931978,0.108117925034674,0.0157484761774216,0.147315531128289,0.114436032893492,0.206805481750745,-0.0458659127706194,0.0923694488572522,0.223010051289837,-0.0617278041708449,-0.0100110325647036,0.0666574441794663,0.126885546409266,0.266315261769804,0.212196582482732,-0.00967798700901157,-0.0234284832354974,0.0216177076840629,0.170396765659611,0.0890578677405065,0.0494339530664945,0.0193181276857151,0.0689283758372476,0.156783283991989,-0.163770588975151,-0.0587028168569627,0.00998115223287388,0.129497069271014,0.0526132856302266,-0.150785671911352,-0.0594449856311981,0.0473393164937511,0.0579571705720189
1883,"AUS",18.8534755706787,4475.27587890625,151.119995117188,178.160003662109,NA,52.4000015258789,155.899993896484,327.100006103516,0.187123000621796,2.95833301544189,2447,0.0469999983906746,0.0419999994337559,0,6.83920001983643,0.0772892437800969,-0.0592765533658488,0.043257011927949,0.103796567016094,0.0338652936681231,0.0340322318521491,-0.0265073232359974,-0.163073120381943,-0.0605395550881453,0.206805481750745,0.223010051289837,-0.0617278041708449,-0.0100110325647036,0.0666574441794663,-0.0458659127706194,0.266315261769804,0.212196582482732,-0.00967798700901157,-0.0234284832354974,0.0923694488572522,0.170396765659611,0.0890578677405065,0.0494339530664945,0.0193181276857151,0.147315531128289,0.156783283991989,-0.163770588975151,-0.0587028168569627,0.00998115223287388,0.114436032893492,0.0526132856302266,-0.150785671911352,-0.0594449856311981,0.0473393164937511
1884,"AUS",18.0980186462402,4303.60009765625,161.779998779297,196.416000366211,NA,56.5999984741211,171.899993896484,335.299987792969,0.203506201505661,3,2556,0.0489999987185001,0.0417000018060207,0,6.72629976272583,0.0681631891619308,0.0771023378033231,0.0976981399690704,0.0139863494310069,0.0434035252998622,-0.0295349508071396,0.0541768397309239,0.0631159883723162,0.0837117905380635,-0.0265073232359974,0.206805481750745,0.223010051289837,-0.0617278041708449,-0.0100110325647036,-0.163073120381943,-0.0458659127706194,0.266315261769804,0.212196582482732,-0.00967798700901157,-0.0605395550881453,0.0923694488572522,0.170396765659611,0.0890578677405065,0.0494339530664945,0.0338652936681231,0.147315531128289,0.156783283991989,-0.163770588975151,-0.0587028168569627,0.0340322318521491,0.114436032893492,0.0526132856302266,-0.150785671911352,-0.0594449856311981
1885,"AUS",18.6153945922852,4422.26416015625,178.619995117188,214.371994018555,NA,61.7999992370605,182.899993896484,343.5,0.186214700341225,3,2650,0.0480000004172325,0.0419999994337559,0,7.03840017318726,0.0990232368750705,0.0878943938682006,0.062026645143435,0,0.0748617422785516,0.0369965917316342,0.0990232368750705,0.0878943938682006,0.062026645143435,0.0541768397309239,-0.0265073232359974,0.206805481750745,0.223010051289837,-0.0617278041708449,0.0631159883723162,-0.163073120381943,-0.0458659127706194,0.266315261769804,0.212196582482732,0.0837117905380635,-0.0605395550881453,0.0923694488572522,0.170396765659611,0.0890578677405065,0.0434035252998622,0.0338652936681231,0.147315531128289,0.156783283991989,-0.163770588975151,-0.0295349508071396,0.0340322318521491,0.114436032893492,0.0526132856302266,-0.150785671911352
1886,"AUS",18.2112445831299,4329.44189453125,185.320007324219,222.888000488281,NA,58.5,186.300003051758,358.299987792969,0.218213900923729,3,2741,0.0469999983906746,0.0410999990999699,0,6.78609991073608,0.0368234831510303,-0.0548765978805354,0.0184187719623825,0,-0.00535999542816967,0.0184047111886487,0.0368234831510303,-0.0548765978805354,0.0184187719623825,0.0990232368750705,0.0541768397309239,-0.0265073232359974,0.206805481750745,0.223010051289837,0.0878943938682006,0.0631159883723162,-0.163073120381943,-0.0458659127706194,0.266315261769804,0.062026645143435,0.0837117905380635,-0.0605395550881453,0.0923694488572522,0.170396765659611,0.0748617422785516,0.0434035252998622,0.0338652936681231,0.147315531128289,0.156783283991989,0.0369965917316342,-0.0295349508071396,0.0340322318521491,0.114436032893492,0.0526132856302266
1887,"AUS",19.5264568328857,4631.74609375,192.830001831055,238.147994995117,NA,66.3000030517578,199.699996948242,381.299987792969,0.201993599534035,2.91666698455811,2835,0.046000000089407,0.0370370000600815,0,8.18050003051758,0.0397248811567517,0.125163188983534,0.0694579311516357,-0.028170767975352,-0.0224909634509172,-0.0297330499948842,0.0678956491321037,0.153333956958886,0.0976286991269877,0.0368234831510303,0.0990232368750705,0.0541768397309239,-0.0265073232359974,0.206805481750745,-0.0548765978805354,0.0878943938682006,0.0631159883723162,-0.163073120381943,-0.0458659127706194,0.0184187719623825,0.062026645143435,0.0837117905380635,-0.0605395550881453,0.0923694488572522,-0.00535999542816967,0.0748617422785516,0.0434035252998622,0.0338652936681231,0.147315531128289,0.0184047111886487,0.0369965917316342,-0.0295349508071396,0.0340322318521491,0.114436032893492
